species,local_name,species_label
Scomberomorus tritor,PEIXE SERRA,PEIXE SERRA
Scorpaena laevis,COME MOLE,COME MOLE
Scyllaridae,CAVACO,CAVACO
Carcharhinus spp,TUBARAO PEIXE,TUBARAO PEIXE
Selar crumenophthalmus,CARAPAU,CARAPAU
Selene dorsalis,PATA PATA,PATA PATA 1
Sepia spp,CHOCO,CHOCO
Seriola rivoliana,PEIXE AZEITE,PEIXE AZEITE
Sparisoma choati,BULHAO PAPAGAIO,BULHAO PAPAGAIO 2
Sphyraena barracuda,BARRACUDA,BARRACUDA
Sphyraena sphyraena,ALICHOTE,ALICHOTE
Sphyrna lewini,TUBARAO MARTELO,TUBARAO MARTELO
Spicara spp,PARENTE,PARENTE
Hypanus rudis,RAIA,RAIA 2
Thalassoma newtoni,RAINHA2,RAINHA2
Thunnus albacares,ATUM OLEDE,ATUM OLEDE
Thunnus obesus,ATUM,ATUM
Trachinotus goreensis,PATA PATA,PATA PATA 2
Trachinotus ovatus,PATA PATA,PATA PATA 3
Tylosurus spp,AGULHA QUIO,AGULHA QUIO
Umbrina cirrosa,RONCADOR DE FUNDO,RONCADOR DE FUNDO 2
Uraspis secunda,OSSO MOLE,OSSO MOLE
Xyrichtys novacula,LAINHA,LAINHA
Sphoeroides pachygaster,COELHO BRANCO,COELHO BRANCO
Lepidocybium flavobrunneum,ESCOLAR,ESCOLAR
Promethichthys prometheus,ESCOLAR ESPADA,ESCOLAR ESPADA
Lagocephalus lagocephalus,COELHO PRETO,COELHO PRETO
Zeus faber,PEIXE GALO,PEIXE GALO
Naucrates ductor,PEIXE PILOTO,PEIXE PILOTO
Physiculus spp,ABROTEA,ABROTEA
Psettodes belcheri,LINGUADO PRETO,LINGUADO PRETO
Carcharodon carcharias,TUBARAO,TUBARAO 1
Umbrina canariensis,PEIXE PORCO,PEIXE PORCO 2
Negaprion brevirostris,TUBARAO,TUBARAO 2
Alopias vulpinus,TUBARAO LABULONGO,TUBARAO LABULONGO
Galeocerdo cuvier,TUBARAO LAGAIA,TUBARAO LAGAIA
Chaceon affinis,SANTOLA,SANTOLA
Xiphias gladius,AGULHA SOMBRA,AGULHA SOMBRA
Kajikia albida,ESTROMBA,ESTROMBA
